Suchbegriff aus hochgeladener Datei;Wirkstoff;Markenname des Medikaments;ATC-Code;Kapitelname;Satz, der das Wort enthält;Link zur Online-Referenz
Afrikaner;Isoniazid;"Isoniazid Labatec®";"J04AC01";Kinetik;"Asiaten sind meist schnelle Acetylierer, während ca. 50% der Europäer und der Afrikaner langsame Acetylierer sind.";https://amiko.oddb.org/de/fi?gtin=65161&highlight=Afrikaner&anchor=section14
Afrikanern;Azathioprin;"Imurek®";"L04AX01";Vorsichtsmassnahmen;"Bei Patienten mit angeborenem, mutiertem NUDT15-Gen besteht bei herkömmlichen Dosen einer Thiopurin-Therapie ein erhöhtes Risiko für eine schwere Azathioprinum -Toxizität, wie eine frühe Leukopenie und Alopezie. Bei diesen Patienten ist im Allgemeinen eine Dosisreduktion erforderlich, insbesondere bei den Patienten, die homozygote Träger der NUDT15-Variante sind (siehe „Dosierung und Anwendung“). Die Inzidenz von NUDT15 c.415C>T unterliegt einer ethnischen Variabilität von ca. 10 % bei Ostasiaten, 4 % bei hispanischer Bevölkerung, 0,2 % bei Europäern und 0 % bei Afrikanern. Eine engmaschige Überwachung der Blutwerte ist in jedem Fall erforderlich.";https://amiko.oddb.org/de/fi?gtin=31887&highlight=Afrikanern&anchor=section7
Afrikanern;Oxcarbazepin;"Trileptal®";"N03AF02";Vorsichtsmassnahmen;"Die Prävalenz von Trägern dieses Allels ist rund 20% auf den Philippinen, 13.5% in Vietnam, 2-12% in der Han Chinesischen Population, gut 8% in Thailand sowie 2-6% in Korea und Indien. In der kaukasischen Bevölkerung ist die Prävalenz des HLA-B*1502 Allels hingegen vernachlässigbar (<1%), ebenso bei Afrikanern, Japanern, der indigenen Bevölkerung Amerikas und den Menschen spanischer Abstammung.";https://amiko.oddb.org/de/fi?gtin=55120&highlight=Afrikanern&anchor=section7
Afrikanern;Carbamazepin;"Timonil®/- retard";"N03AF01";Vorsichtsmassnahmen;"Retrospektive Studien in Patienten mit Han-Chinesischer und Thailändischer Abstammung zeigten eine starke Korrelation zwischen SJS/TEN-Hautreaktionen im Zusammenhang mit der Anwendung von Carbamazepin und dem Vorliegen des Human Leucozyte Antigen (HLA)-B*1502 Allel. Die Frequenz dieses Allels beträgt 2-12% in der Han Chinesischen Population und etwa 8% in Thailand. In asiatischen Ländern (z.B. Taiwan, Malaysia und Philippinen), in denen die Frequenz des HLA-B*1502 Allels höher ist, wird die unerwünschte Wirkung SJS häufiger gemeldet («gelegentlich» anstelle von «selten»). Die Frequenz von Trägern dieses Allels ist über 15% in den Philippinen und in einigen malaiischen Populationen. Allel-Frequenzen von bis zu 2% und 6% wurden berichtet für Korea und Indien. Die Frequenz des HLA-B*1502 Allels ist in der kaukasischen Bevölkerung vernachlässigbar, ebenso bei Afrikanern, der indigenen Bevölkerung Amerikas, Japanern und den Menschen spanischer Abstammung (<1%).";https://amiko.oddb.org/de/fi?gtin=45723&highlight=Afrikanern&anchor=section7
Afrikanern;Carbamazepin;"Carsol® CR";"N03AF01";Vorsichtsmassnahmen;"Retrospektive Studien in Patienten mit Han-Chinesischer und Thailändischer Abstammung zeigten eine starke Korrelation zwischen SJS/TEN-Hautreaktionen im Zusammenhang mit der Anwendung von Carbamazepin und dem Vorliegen des Human Leucozyte Antigen (HLA)-B*1502 Allel. Die Frequenz dieses Allels beträgt 2−12% in der Han Chinesischen Population und etwa 8% in Thailand. In asiatischen Ländern (z.B. Taiwan, Malaysia und Philippinen), in denen die Frequenz des HLA-B*1502 Allels höher ist, wird die unerwünschte Wirkung SJS häufiger gemeldet («gelegentlich» anstelle von «selten»). Die Frequenz von Trägern dieses Allels ist über 15% in den Philippinen und in einigen malaiischen Populationen. Allel-Frequenzen von bis zu 2% und 6% wurden berichtet für Korea und Indien. Die Frequenz des HLA-B*1502 Allels ist in der kaukasischen Bevölkerung vernachlässigbar, ebenso bei Afrikanern, der indigenen Bevölkerung Amerikas, Japanern und den Menschen spanischer Abstammung (<1%).";https://amiko.oddb.org/de/fi?gtin=56749&highlight=Afrikanern&anchor=section7
Afrikanern;Carbamazepin;"Tegretol®";"N03AF01";Vorsichtsmassnahmen;"Retrospektive Studien in Patienten mit Han-Chinesischer und Thailändischer Abstammung zeigten eine starke Korrelation zwischen SJS/TEN-Hautreaktionen im Zusammenhang mit der Anwendung von Carbamazepin und dem Vorliegen des Human Leucozyte Antigen (HLA)-B*1502 Allel. Die Frequenz dieses Allels beträgt 2-12% in der Han Chinesischen Population und etwa 8% in Thailand. In asiatischen Ländern (z.B. Taiwan, Malaysia und Philippinen), in denen die Frequenz des HLA-B*1502 Allels höher ist, wird die unerwünschte Wirkung SJS häufiger gemeldet («gelegentlich» anstelle von «selten»). Die Frequenz von Trägern dieses Allels ist über 15% in den Philippinen und in einigen malaiischen Populationen. Allel-Frequenzen von bis zu 2% und 6% wurden berichtet für Korea und Indien. Die Frequenz des HLA-B*1502 Allels ist in der kaukasischen Bevölkerung vernachlässigbar, ebenso bei Afrikanern, der indigenen Bevölkerung Amerikas, Japanern und den Menschen spanischer Abstammung (<1%).";https://amiko.oddb.org/de/fi?gtin=29789&highlight=Afrikanern&anchor=section7
Afrikanern;Oxcarbazepin;"Apydan® extent";"N03AF02";Vorsichtsmassnahmen;"Die Prävalenz von Trägern dieses Allels ist rund 20% auf den Philippinen, 13.5% in Vietnam, 2-12% in der Han Chinesischen Population, gut 8% in Thailand sowie 2-6% in Korea und Indien. In der kaukasischen Bevölkerung ist die Prävalenz des HLA-B*1502 Allels hingegen vernachlässigbar (<1%), ebenso bei Afrikanern, Japanern, der indigenen Bevölkerung Amerikas und den Menschen spanischer Abstammung.";https://amiko.oddb.org/de/fi?gtin=57883&highlight=Afrikanern&anchor=section7
Afrikanern;Mercaptopurin;"Xaluprine";"L01BB02";Vorsichtsmassnahmen;"Bei Patienten mit angeborenem mutiertem NUDT15-Gen besteht bei herkömmlichen Dosen einer Thiopurin-Therapie ein erhöhtes Risiko für eine schwere 6-Mercaptopurin-Toxizität, wie eine frühe Leukopenie und Alopezie. Bei diesen Patienten ist im Allgemeinen eine Dosisreduktion erforderlich, insbesondere bei den Patienten, die homozygote Träger der NUDT15-Variante sind (siehe «Dosierung/Anwendung»). Die Inzidenz von NUDT15 c.415C>T (heterozygoter Trägerstatus) unterliegt einer ethnischen Variabilität von ca. 10% bei Ostasiaten, 4% bei hispanischer Bevölkerung, 0,2% bei Europäern und 0% bei Afrikanern. Eine engmaschige Überwachung der Blutwerte ist in jedem Fall erforderlich.";https://amiko.oddb.org/de/fi?gtin=65371&highlight=Afrikanern&anchor=section7
afrikanische;Eflornithin;"Vaniqa® Crème";"D11AX16";Überdosierung;"Aufgrund der minimalen kutanen Penetration von Eflornithin ist eine Überdosierung höchst unwahrscheinlich. Dennoch sollte bei sehr hochdosierter kutaner Anwendung oder versehentlicher oraler Einnahme auf folgende Wirkungen geachtet werden, wie sie mit therapeutischen Dosen von intravenös verabreichtem Eflornithin (400 mg/kg/Tag oder ca. 24 g/Tag) bei der Behandlung der Trypanosoma brucei gambiense-Infektion (afrikanische Schlafkrankheit) beobachtet wurden: Haarverlust, Schwellung im Gesicht, Krampfanfälle, Hörschäden, gastrointestinale Störungen, Appetitlosigkeit, Kopfschmerzen, Schwäche, Schwindel, Anämie, Thrombozytopenie und Leukopenie.";https://amiko.oddb.org/de/fi?gtin=55658&highlight=afrikanische&anchor=section12
afrikanischem;Prasugrel;"Efient®";"B01AC22";Kinetik;"Im Rahmen von klinischen Pharmakologie-Studien bei Chinesen, Japanern und Koreanern war die AUC des aktiven Metaboliten unter Berücksichtigung des Körpergewichts etwa um 19% höher. Hinsichtlich der AUC bestehen keine Unterschiede zwischen Chinesen, Japanern und Koreanern. Die Werte von Kaukasieren und Personen mit afrikanischem oder hispanischem Hintergrund sind vergleichbar. Aufgrund der ethnischen Herkunft allein wird keine Dosisanpassung empfohlen.";https://amiko.oddb.org/de/fi?gtin=59136&highlight=afrikanischem&anchor=section14
